date,volume_google,score_twitter,volume_twitter
1442160000,54,0,0
1442163600,54,0.184637908681583,5
1442167200,57,0.110965698639385,2
1442170800,58,0.028117131329377,7
1442174400,55,0.181766642922481,4
1442178000,57,0.221321569239747,3
1442181600,59,0.085360768775766,4
1442185200,63,0.025208964034273,3
1442188800,65,0.058928965951097,6
1442192400,86,0.4404,1
1442196000,73,0.6588,1
1442199600,100,-0.4121,1
1442203200,64,0.2732,1
1442206800,97,0,0
1442210400,80,0,0
1442214000,70,0,0
1442217600,70,0.095537997500124,2
1442221200,58,0.6124,1
1442224800,58,0,0
1442228400,54,0.233379525331365,1
1442232000,54,0,0
1442235600,55,0.106182683652962,2
1442239200,53,0.105436589932977,2
1442242800,53,0.264030307397456,6
1442246400,55,-0.200849518906689,7
1442250000,57,0.6158,2
1442253600,56,0.03595,2
1442257200,59,0.29415,2
1442260800,56,0.297539615039314,3
1442264400,58,0.211529074433599,1
1442268000,64,0,0
1442271600,64,-0.2263,1
1442275200,70,0.6249,1
1442278800,80,0.47715957022777,3
1442282400,70,0.44905,2
1442286000,77,0.376236127243957,3
1442289600,66,0.3612,1
1442293200,64,0.378525,3
1442296800,88,0.117104835454279,3
1442300400,71,0.02535,4
1442304000,59,0.19236928185109,2
1442307600,54,0,0
1442311200,54,0.131113200367274,1
1442314800,54,0,0
1442318400,52,0,0
1442322000,51,0.104009419824653,2
1442325600,55,0.253160414670268,3
1442329200,55,0.308706054235447,5
1442332800,56,0.211771605160339,7
1442336400,57,0.148299100832789,12
1442340000,60,0.270119624182459,5
1442343600,57,0.239716801838789,5
1442347200,60,0.537965189689739,4
1442350800,63,0.26990410331447,2
1442354400,64,0.391424956773827,3
1442358000,70,0,0
1442361600,77,-0.120666666666667,3
1442365200,87,0,0
1442368800,74,0,0
1442372400,76,0,0
1442376000,68,0,0
1442379600,73,0,0
1442383200,67,0.254508345393931,1
1442386800,67,0,0
1442390400,66,0,0
1442394000,60,0.15440831077577,2
1442397600,56,0.2023,1
1442401200,56,0,0
1442404800,55,0.018801038255112,1
1442408400,54,0.604887972844473,3
1442412000,59,0.4537256512023,4
1442415600,58,0.186029272542793,6
1442419200,54,0.151742353017807,3
1442422800,61,0.127736716767096,4
1442426400,61,-0.111077534994221,3
1442430000,56,0.443776345653708,2
1442433600,63,0,0
1442437200,63,0.285819390415675,2
1442440800,64,0.25,1
1442444400,67,0,0
1442448000,70,-0.132683530549231,2
1442451600,86,0,0
1442455200,71,0.293569711975423,1
1442458800,72,0,0
1442462400,65,-0.4404,1
1442466000,67,0,0
1442469600,70,0,0
1442473200,65,0.007340005142884,1
1442476800,66,0,0
1442480400,56,0.083535020425568,1
1442484000,59,0,0
1442487600,62,0,0
1442491200,58,-0.197152665883902,3
1442494800,56,0.3612,1
1442498400,63,0.594,2
1442502000,58,0,2
1442505600,59,0.184201548273336,2
1442509200,59,0.364103736941654,11
1442512800,60,-0.071061536401367,3
1442516400,61,0.334674063361268,4
1442520000,63,0.163183991272846,2
1442523600,63,0.570133333333333,3
1442527200,64,0.510475,4
1442530800,69,0.21921772502042,3
1442534400,69,-0.34,1
1442538000,75,0,0
1442541600,86,-0.009616024964134,5
1442545200,80,0.286366731645946,1
1442548800,71,0.48865,2
1442552400,70,0,0
1442556000,74,0,0
1442559600,75,0,0
1442563200,62,-0.2575,1
1442566800,59,0,0
1442570400,60,-0.023993944482447,2
1442574000,66,0,0
1442577600,64,-0.082279024116392,3
1442581200,65,-0.029748457628077,2
1442584800,61,0.159223334274403,2
1442588400,66,0.118707981362265,1
1442592000,64,0.134389378707722,2
1442595600,66,0.3959308571541,5
1442599200,67,0.273503580450705,2
1442602800,68,-0.010413466471275,4
1442606400,68,0.502201517382159,6
1442610000,73,0.46645,2
1442613600,67,0.276629756428261,1
1442617200,70,0.415723656235074,5
1442620800,67,0,0
1442624400,88,0,0
1442628000,75,0.4199,1
1442631600,74,0.25251327277604,1
1442635200,71,0.034184148044153,2
1442638800,71,0.4767,1
1442642400,80,0.113379910343197,1
1442646000,75,0,0
1442649600,76,0.152161558752883,1
1442653200,70,0,0
