date,score_twitter,volume_twitter,volume_google
1520269200,0,0,10
1520272800,0.063566666666667,3,10
1520276400,0.116544359294835,2,10
1520280000,0.6597,1,9
1520283600,0.8779,1,9
1520287200,0.4019,1,8
1520290800,0,0,8
1520294400,0,0,8
1520298000,0.102116666666667,4,8
1520301600,0.068467226439258,1,8
1520305200,0,0,8
1520308800,0,0,9
1520312400,0,0,9
1520316000,0.4019,1,9
1520319600,-0.6956,1,9
1520323200,0.162981498467644,1,9
1520326800,0.111434299856442,2,10
1520330400,0.543980309642392,3,10
1520334000,0.1613,1,9
1520337600,0.55035,2,9
1520341200,0.158307518872479,3,9
1520344800,0.158301946517922,2,9
1520348400,0.109733333333333,3,10
1520352000,0.4393,2,10
1520355600,0.67195,2,9
1520359200,0.02615,2,9
1520362800,0.398705702277411,4,9
1520366400,0.342647994168885,3,8
1520370000,-0.187093782926455,3,8
1520373600,0.5106,1,8
1520377200,0,0,8
1520380800,0,0,8
1520384400,0.505345858430789,2,8
1520388000,0.6721,2,8
1520391600,0.124669965728532,4,8
1520395200,0,0,8
1520398800,0,0,8
1520402400,-0.1609,3,8
1520406000,-0.2732,1,9
1520409600,0,0,10
1520413200,0,0,10
1520416800,0,0,9
1520420400,0.9062,1,9
1520424000,0,0,9
1520427600,-0.4588,1,9
1520431200,0,0,9
1520434800,-0.35675,2,10
1520438400,0.254375,3,10
1520442000,-0.2183,1,11
1520445600,0,0,9
1520449200,0.49305,2,9
1520452800,0.034058641681656,1,9
1520456400,-0.2023,1,8
1520460000,0.14225,2,8
1520463600,0.313298178742925,3,8
1520467200,0.101645565074483,6,8
1520470800,0.198053333333333,7,9
1520474400,0.283546151113015,7,8
1520478000,0,0,8
1520481600,0,0,9
1520485200,-0.2755,1,8
1520488800,-0.126792790045757,2,9
1520492400,0,0,9
1520496000,0.196854394082314,1,9
1520499600,0.149629954644626,1,10
1520503200,0,0,9
1520506800,0,0,9
1520510400,0.29005,2,8
1520514000,0,0,9
1520517600,0.8588,1,6
1520521200,0.185070341001737,5,6
1520524800,0.380971409724192,4,6
1520528400,0.157275716549674,1,7
1520532000,0.192796494816833,4,6
1520535600,-0.5493,1,6
1520539200,0.1507,2,6
1520542800,0,0,6
1520546400,-0.0538,2,6
1520550000,0.345483333333333,4,5
1520553600,0.6146,2,6
1520557200,0.34,1,5
1520560800,0.045887473505728,2,6
1520564400,0,0,5
1520568000,0,0,6
1520571600,-0.13,3,6
1520575200,0.152804512632078,3,5
1520578800,0.02675,2,6
1520582400,-0.1139,1,6
1520586000,0.249650623028614,4,6
1520589600,0.301360896124622,2,6
1520593200,0.1026,2,6
1520596800,0,0,6
1520600400,0,0,6
1520604000,0,0,5
1520607600,0.25245,2,5
1520611200,0.312356103829605,2,6
1520614800,-0.314579753332074,2,6
1520618400,0.406905339747477,2,6
1520622000,0.3567,3,6
1520625600,0.128194643783928,3,6
1520629200,0.488556007889367,3,6
1520632800,0.037967574571231,2,6
1520636400,0.65115,2,5
1520640000,0,0,5
1520643600,0,0,5
1520647200,0,0,5
1520650800,0.7108,1,5
1520654400,0.8221,1,5
1520658000,0.362333333333333,3,5
1520661600,0,0,6
1520665200,0,0,6
1520668800,-0.5267,1,6
1520672400,0.7506,1,7
1520676000,0,0,7
1520679600,-0.49815,2,6
1520683200,0,0,6
1520686800,0.53385,2,6
1520690400,0,0,6
1520694000,0,0,6
1520697600,0,0,6
1520701200,0.131554003600733,1,7
1520704800,0,0,7
1520708400,0.3612,1,7
1520712000,0,0,6
1520715600,0.2211,1,6
1520719200,0.7246,2,6
1520722800,0.07755,2,6
1520726400,0,0,6
1520730000,0.112724611124208,2,6
1520733600,0.8748,1,6
1520737200,0.187502323253982,1,7
1520740800,0,0,6
1520744400,0.5719,1,6
1520748000,0.185286994893329,3,6
1520751600,0,0,7
1520755200,0.4246,1,7
1520758800,0,0,7
1520762400,0.238275,4,7
1520766000,-0.357,1,7
1520769600,0,0,7
1520773200,0.174309946878777,1,6
1520776800,0.6712,1,6
1520780400,-0.026064446973896,4,6
1520784000,0,0,6
1520787600,0.29775,2,7
1520791200,0.4404,1,7
1520794800,0.891,1,7
1520798400,0.2371,3,6
1520802000,0,0,6
1520805600,0.4404,1,6
1520809200,-0.25,1,6
1520812800,-0.4404,1,6
1520816400,0,0,6
1520820000,0.178833333333333,3,6
1520823600,0,0,5
1520827200,0.779,1,6
1520830800,-0.426416328152536,3,6
1520834400,0.4939,1,6
1520838000,0,0,7
1520841600,0,0,6
1520845200,-0.3612,1,6
1520848800,0.40085,2,7
1520852400,0,0,7
1520856000,0,0,6
1520859600,0,0,5
1520863200,0.302169345056794,3,6
1520866800,0.28245,2,6
1520870400,0,0,7
1520874000,0.4215,1,7
1520877600,-0.020797391389828,2,8
1520881200,-0.0516,1,8
1520884800,0.053408794687402,1,7
1520888400,0.364376655421824,2,7
1520892000,0.303733333333333,3,6
1520895600,0.382763900243744,5,6
1520899200,0,0,6
1520902800,0,0,6
1520906400,0.7593,1,6
1520910000,0.1531,1,6
1520913600,0.4215,1,7
1520917200,0.113353456527041,1,8
1520920800,0,0,7
1520924400,-0.29505,2,7
1520928000,0.322180123258892,3,8
1520931600,0.063200701498874,1,7
1520935200,0,0,7
1520938800,0,0,7
1520942400,0,0,6
1520946000,0.349092128116707,2,6
1520949600,0.749583333333333,4,7
1520953200,0,0,7
1520956800,0.8785,1,7
1520960400,-0.1027,1,7
1520964000,0.4934,2,7
1520967600,0.208367301176871,1,6
1520971200,-0.280313524245009,2,6
1520974800,0,0,6
1520978400,0.5859,1,6
1520982000,0.175536644765834,1,5
1520985600,0.600775,3,5
1520989200,0,0,5
1520992800,0.3987,1,6
1520996400,0.085455093939874,4,6
1521000000,0.073357489964292,1,6
1521003600,0.206860182743341,4,7
1521007200,0,0,7
1521010800,0,0,7
1521014400,0.6249,1,7
1521018000,0,0,7
1521021600,0,0,10
1521025200,0.015753915401567,2,9
1521028800,0,0,7
1521032400,0,0,8
1521036000,0.7506,1,9
1521039600,0.8056,1,9
1521043200,0.242254012489892,7,10
1521046800,0.296,1,10
1521050400,-0.8555,1,10
1521054000,0.407235035037419,9,8
1521057600,0.144713333333333,7,8
1521061200,0.241027324657521,3,7
1521064800,0.2732,2,7
1521068400,0.289525,3,6
1521072000,0.356290871472148,2,6
1521075600,0,0,6
1521079200,0.36845,2,6
1521082800,0.267917961256199,1,6
1521086400,0,0,6
1521090000,0,0,6
1521093600,0,0,6
1521097200,-0.14442346149249,2,7
1521100800,0,0,6
1521104400,0.39175,2,6
1521108000,0.065304186247048,4,6
1521111600,-0.5,1,6
1521115200,0,0,6
1521118800,-0.2732,1,6
1521122400,0.515203012202983,3,5
1521126000,0.29138645433689,2,6
1521129600,0,0,6
1521133200,0.282194122957334,3,6
1521136800,0,0,6
1521140400,-0.124532210625508,2,6
1521144000,0,0,6
1521147600,0.4767,1,6
1521151200,0.2295,2,6
1521154800,-0.10445,2,5
1521158400,0,0,5
1521162000,0.186629988695594,1,5
1521165600,0,0,5
1521169200,0,0,5
1521172800,-0.027340228904576,2,5
1521176400,0,0,5
1521180000,0,0,5
1521183600,0,0,5
1521187200,0,0,6
1521190800,0.232533177664131,1,6
1521194400,0.7424,1,7
1521198000,0,0,7
1521201600,-0.224043351738637,2,6
1521205200,0.5248,1,6
1521208800,0.438,2,6
1521212400,0.419566666666667,3,6
1521216000,0.073621073099249,3,6
1521219600,0.285850582877323,1,6
1521223200,0,0,6
1521226800,0,0,12
1521230400,0.47535,3,9
1521234000,0.09,1,8
1521237600,0,0,7
1521241200,0.05685,2,7
1521244800,0.8519,1,6
1521248400,0.201239713312167,3,6
1521252000,0,0,6
1521255600,0,0,7
1521259200,0,0,7
1521262800,0,0,6
1521266400,0,0,6
1521270000,0.080316261677788,1,6
1521273600,0,0,6
1521277200,0,0,6
1521280800,0,0,7
1521284400,0.29025,2,7
1521288000,0,0,7
1521291600,0.051133333333333,3,6
1521295200,0,0,7
1521298800,-0.079375407057521,3,7
1521302400,-0.0076,2,7
1521306000,-0.1779,1,7
1521309600,0,0,7
1521313200,0.1977,2,7
1521316800,-0.745,1,7
1521320400,-0.154467303316108,2,6
1521324000,-0.296,1,6
1521327600,0.6295,1,6
1521331200,0.292918134145211,1,6
1521334800,0.53075,2,6
1521338400,0,0,6
1521342000,0.6486,1,6
1521345600,0.2732,1,7
1521349200,0.221786783926991,2,6
1521352800,-0.296,1,6
1521356400,0,0,6
1521360000,0,0,7
1521363600,0,0,7
1521367200,0,0,7
1521370800,0,0,7
1521374400,-0.22455,2,7
1521378000,-0.5719,1,7
1521381600,0,0,6
1521385200,-0.18765,2,7
1521388800,-0.2263,1,7
1521392400,0.056822958226971,1,7
1521396000,-0.033092239234201,2,7
1521399600,0,0,6
1521403200,0.24655,4,6
1521406800,-0.3912,3,6
1521410400,-0.10615,2,6
1521414000,0,0,5
1521417600,0.299364807129468,3,6
1521421200,0.282052207855572,2,6
1521424800,-0.209125,3,6
1521428400,0.5972,1,6
1521432000,0,0,7
1521435600,-0.7118,1,6
1521439200,0,0,6
1521442800,0.0769,2,6
1521446400,0.765,1,6
1521450000,0.001874418911711,1,7
1521453600,0.1901,1,7
1521457200,0.6486,1,7
1521460800,0.318263390661363,2,6
1521464400,0.231215025258503,1,6
1521468000,0.310835801486828,2,6
1521471600,0.5574,1,6
1521475200,0.272347691236619,2,6
1521478800,-0.395,1,6
1521482400,0.3818,1,6
1521486000,0.3612,1,6
1521489600,0.448340991207183,4,6
1521493200,0.573695249727253,3,6
1521496800,0,0,6
1521500400,0,0,7
1521504000,0,0,7
1521507600,0.238033333333333,3,7
1521511200,0.285248652921205,3,7
1521514800,-0.089051104253619,2,7
1521518400,0.5719,1,7
1521522000,0.8968,1,7
1521525600,0.8115,1,8
1521529200,0.053208541416643,1,8
1521532800,0.467133525080518,5,8
1521536400,0.4939,1,8
1521540000,0.6149,1,11
1521543600,0.3164,1,11
1521547200,-0.4003,1,9
1521550800,0,0,8
1521554400,0.171733333333333,3,8
1521558000,0.024,1,11
1521561600,0.65745,2,11
1521565200,0.52190571119169,2,10
1521568800,0,0,10
1521572400,0.24161442897241,3,11
1521576000,-0.040276259756513,3,9
1521579600,-0.02055,2,8
1521583200,0.333654734893341,3,7
1521586800,0.163143466525762,4,7
1521590400,0.400167270809614,2,6
1521594000,0,0,6
1521597600,0.532478879248356,3,6
1521601200,0.06295,2,6
1521604800,0.174674728728528,4,7
1521608400,0,0,7
1521612000,0.2263,1,6
1521615600,-0.088075,3,6
1521619200,0,0,6
1521622800,0.093225841961944,2,7
1521626400,0,0,7
1521630000,-0.05565,2,7
1521633600,0.243104533056104,1,7
1521637200,0.110225,7,6
1521640800,-0.081618405762594,3,7
1521644400,0,0,7
1521648000,-0.198182321877991,2,7
1521651600,0.28105,2,7
1521655200,0.1579274505339,5,7
1521658800,0.357406493002934,6,6
1521662400,0,0,6
1521666000,0.256833333333333,3,6
1521669600,0.2882,3,6
1521673200,0,0,6
1521676800,0.42885,2,6
1521680400,0.29975609890021,2,5
1521684000,0.192666666666667,3,5
1521687600,-0.5909,1,5
1521691200,0.3049,1,6
1521694800,0.206031838843784,1,5
1521698400,0.3818,1,5
1521702000,0.249025125157185,1,5
1521705600,0.368,1,5
1521709200,-0.5266,2,6
1521712800,0.259414326360746,2,6
1521716400,0.039835839264477,2,6
1521720000,0,0,6
1521723600,0.6703,1,6
1521727200,0.259113704278176,7,6
